date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:39:16	1339/1339	---M-Z	404	error ('Not%20Found')	text/html	etag:1742632912-ssl-df	https://playemeralfates.com/robots.txt		(from )
18:39:17	272647/272647	---M-Z	200	added ('OK')	text/html	etag:%22483ef6c5041fd36fd08396933119c8ec-ssl-df%22	https://playemeralfates.com/	C:/Meus%20Sites/emeral/playemeralfates.com/index.html	(from )
18:39:18	8711/8711	---MCZ	200	added ('OK')	text/css	etag:W/%2267ff6f0e-2207%22	https://www.playtonicgames.com/app/plugins/webtoffee-gdpr-cookie-consent/public/css/cookie-law-info-public.css?ver=2.6.4	C:/Meus%20Sites/emeral/www.playtonicgames.com/app/plugins/webtoffee-gdpr-cookie-consent/public/css/cookie-law-info-public72e6.css	(from https://playemeralfates.com/)
18:39:19	22993/22993	---MCZ	200	added ('OK')	text/css	etag:W/%2267ff6f0e-59d1%22	https://www.playtonicgames.com/app/plugins/webtoffee-gdpr-cookie-consent/public/css/cookie-law-info-gdpr.css?ver=2.6.4	C:/Meus%20Sites/emeral/www.playtonicgames.com/app/plugins/webtoffee-gdpr-cookie-consent/public/css/cookie-law-info-gdpr72e6.css	(from https://playemeralfates.com/)
18:39:19	577527/577527	---MCZ	200	added ('OK')	text/javascript	etag:W/%22681a815f-8cff7%22	https://scripts.sirv.com/sirvjs/v3/sirv.js?ver=6.6.2	C:/Meus%20Sites/emeral/scripts.sirv.com/sirvjs/v3/sirv109c.js	(from https://playemeralfates.com/)
18:39:19	214221/214221	---MCZ	200	added ('OK')	text/css	etag:W/%226807c8e8-344cd%22	https://www.playtonicgames.com/app/themes/sozo/public/css/app-xp4kpf.css?ver=6.6.2	C:/Meus%20Sites/emeral/www.playtonicgames.com/app/themes/sozo/public/css/app-xp4kpf109c.css	(from https://playemeralfates.com/)
18:39:20	87553/87553	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264ecd5ef-15601%22	https://www.playtonicgames.com/wp/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/Meus%20Sites/emeral/www.playtonicgames.com/wp/wp-includes/js/jquery/jquery.minf43b.js	(from https://playemeralfates.com/)
18:39:20	55061/55061	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267ff6f0e-d715%22	https://www.playtonicgames.com/app/plugins/webtoffee-gdpr-cookie-consent/public/js/cookie-law-info-public.js?ver=2.6.4	C:/Meus%20Sites/emeral/www.playtonicgames.com/app/plugins/webtoffee-gdpr-cookie-consent/public/js/cookie-law-info-public72e6.js	(from https://playemeralfates.com/)
18:39:20	3449/3449	---M-Z	404	error ('Not%20Found')	text/html	etag:1742632912-ssl-df	https://playemeralfates.com/OneSignalSDKUpdaterWorker.js	C:/Meus%20Sites/emeral/playemeralfates.com/OneSignalSDKUpdaterWorker.6.delayed	(from https://playemeralfates.com/)
18:39:21	3449/3449	---M-Z	404	error ('Not%20Found')	text/html	etag:1742632912-ssl-df	https://playemeralfates.com/OneSignalSDKWorker.js	C:/Meus%20Sites/emeral/playemeralfates.com/OneSignalSDKWorker.7.delayed	(from https://playemeralfates.com/)
18:39:21	3449/3449	---M-Z	404	error ('Not%20Found')	text/html	etag:1742632912-ssl-df	https://playemeralfates.com/apple-touch-icon.png	C:/Meus%20Sites/emeral/playemeralfates.com/apple-touch-icon.8.delayed	(from https://playemeralfates.com/)
18:39:21	3449/3449	---M-Z	404	error ('Not%20Found')	text/html	etag:1742632912-ssl-df	https://playemeralfates.com/favicon-32x32.png	C:/Meus%20Sites/emeral/playemeralfates.com/favicon-32x32.9.delayed	(from https://playemeralfates.com/)
18:39:22	3449/3449	---M-Z	404	error ('Not%20Found')	text/html	etag:1742632912-ssl-df	https://playemeralfates.com/favicon-16x16.png	C:/Meus%20Sites/emeral/playemeralfates.com/favicon-16x16.a.delayed	(from https://playemeralfates.com/)
18:39:22	3449/3449	---M-Z	404	error ('Not%20Found')	text/html	etag:1742632912-ssl-df	https://playemeralfates.com/site.webmanifest	C:/Meus%20Sites/emeral/playemeralfates.com/site.b.delayed	(from https://playemeralfates.com/)
18:39:22	3449/3449	---M-Z	404	error ('Not%20Found')	text/html	etag:1742632912-ssl-df	https://playemeralfates.com/safari-pinned-tab.svg	C:/Meus%20Sites/emeral/playemeralfates.com/safari-pinned-tab.c.delayed	(from https://playemeralfates.com/)
18:39:23	4916/4916	---M-Z	200	added ('OK')	text/css	date:Sat,%2010%20May%202025%2001:39:21%20GMT	https://use.typekit.net/vkq2rvl.css	C:/Meus%20Sites/emeral/use.typekit.net/vkq2rvl.css	(from https://playemeralfates.com/)
18:39:23	278093/278093	---M-Z	200	added ('OK')	application/x-javascript	date:Sat,%2010%20May%202025%2001:39:21%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Meus%20Sites/emeral/connect.facebook.net/en_US/fbevents.js	(from https://playemeralfates.com/)
18:39:27	52916/52916	---MC-	200	added ('OK')	text/javascript	date:Tue,%2012%20Dec%202023%2018:09:08%20GMT	http://www.google-analytics.com/analytics.js	C:/Meus%20Sites/emeral/www.google-analytics.com/analytics.js	(from https://playemeralfates.com/)
18:39:27	321278/321278	---M--	200	added ('OK')	image/png	etag:%2278122b448ce131abaa4356237fd46c3d-ssl%22	https://playemeralfates.com/emeralfateslogo.png	C:/Meus%20Sites/emeral/playemeralfates.com/emeralfateslogo.png	(from https://playemeralfates.com/)
18:39:28	3449/3449	---M-Z	404	error ('Not%20Found')	text/html	etag:1742632912-ssl-df	https://playemeralfates.com/cookie-policy/	C:/Meus%20Sites/emeral/playemeralfates.com/cookie-policy/index.html	(from https://playemeralfates.com/)
18:39:28	6387/6387	---MCZ	200	added ('OK')	text/css	etag:W/%2267ff6f0e-18f3%22	https://www.playtonicgames.com/app/plugins/webtoffee-gdpr-cookie-consent/public/css/cookie-law-info-table.css?ver=2.6.4	C:/Meus%20Sites/emeral/www.playtonicgames.com/app/plugins/webtoffee-gdpr-cookie-consent/public/css/cookie-law-info-table72e6.css	(from https://playemeralfates.com/)
18:39:28	3449/3449	---M-Z	404	error ('Not%20Found')	text/html	etag:1742632912-ssl-df	https://playemeralfates.com/privacy-policy/	C:/Meus%20Sites/emeral/playemeralfates.com/privacy-policy/index.html	(from https://playemeralfates.com/)
18:39:29	18886251/18886251	---M--	200	added ('OK')	video/mp4	etag:%225da32aeb04c4ede9b07d600616d805f2-ssl%22	https://playemeralfates.com/trailer.mp4	C:/Meus%20Sites/emeral/playemeralfates.com/trailer.mp4	(from https://playemeralfates.com/)
18:39:29	262147/262147	---MCZ	200	added ('OK')	application/javascript	etag:W/%226807c8e8-40003%22	https://www.playtonicgames.com/app/themes/sozo/public/js/app-xp4kpf.js	C:/Meus%20Sites/emeral/www.playtonicgames.com/app/themes/sozo/public/js/app-xp4kpf.js	(from https://playemeralfates.com/)
18:39:30	3067/3067	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267ff9914-bfb%22	https://www.playtonicgames.com/app/plugins/perfmatters/vendor/instant-page/pminstantpage.min.js?ver=2.4.3	C:/Meus%20Sites/emeral/www.playtonicgames.com/app/plugins/perfmatters/vendor/instant-page/pminstantpage.minb2da.js	(from https://playemeralfates.com/)
18:39:30	9204/9204	---MCZ	200	added ('OK')	application/javascript	etag:W/%2209282956186c8515ef0d208902803581%22	https://cdn.onesignal.com/sdks/OneSignalSDK.js?ver=1.0.0	C:/Meus%20Sites/emeral/cdn.onesignal.com/sdks/OneSignalSDK8a54.js	(from https://playemeralfates.com/)
18:39:30	5/5	---M--	200	added ('OK')	text/css	etag:%2267456d9f-5%22	https://p.typekit.net/p.css?s=1&k=vkq2rvl&ht=tk&f=32204.37319.37321.37322.37324.43265&a=85845077&app=typekit&e=css	C:/Meus%20Sites/emeral/p.typekit.net/p2f8a.css	(from https://use.typekit.net/vkq2rvl.css)
18:39:30	19848/19848	---M--	200	added ('OK')	application/font-woff2	etag:%22658c8db565d52faf0bd07dac7e6272e2ad45d88d%22	https://use.typekit.net/af/5265b3/00000000000000007735affc/30/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n3&v=3	C:/Meus%20Sites/emeral/use.typekit.net/af/5265b3/00000000000000007735affc/30/l3eab	(from https://use.typekit.net/vkq2rvl.css)
18:39:31	20284/20284	---M--	200	added ('OK')	application/font-woff	etag:%22658c8db565d52faf0bd07dac7e6272e2ad45d88d%22	https://use.typekit.net/af/5265b3/00000000000000007735affc/30/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n3&v=3	C:/Meus%20Sites/emeral/use.typekit.net/af/5265b3/00000000000000007735affc/30/d3eab	(from https://use.typekit.net/vkq2rvl.css)
18:39:31	32392/32392	---M-Z	200	added ('OK')	font/opentype	etag:W/%22658c8db565d52faf0bd07dac7e6272e2ad45d88d%22	https://use.typekit.net/af/5265b3/00000000000000007735affc/30/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n3&v=3	C:/Meus%20Sites/emeral/use.typekit.net/af/5265b3/00000000000000007735affc/30/a3eab	(from https://use.typekit.net/vkq2rvl.css)
18:39:31	19708/19708	---M--	200	added ('OK')	application/font-woff2	etag:%222bb94aeda3c3c84ff1c21f0e52912c636190ab03%22	https://use.typekit.net/af/efb4b1/00000000000000007735c420/30/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n3&v=3	C:/Meus%20Sites/emeral/use.typekit.net/af/efb4b1/00000000000000007735c420/30/l3eab	(from https://use.typekit.net/vkq2rvl.css)
